,Entity,Currency,AlphabeticCode,NumericCode,MinorUnit,WithdrawalDate
384,SAINT MARTIN,French Franc,FRF,250.0,,1999-01
385,SAINT PIERRE AND MIQUELON,French Franc,FRF,250.0,,2002-03
386,SAINT-BARTHÉLEMY,French Franc,FRF,250.0,,1999-01
387,SAN MARINO,Italian Lira,ITL,380.0,,2002-03
388,SERBIA AND MONTENEGRO,Serbian Dinar,CSD,891.0,,2006-10
389,SERBIA AND MONTENEGRO,Euro,EUR,978.0,,2006-10
390,SLOVAKIA,Slovak Koruna,SKK,703.0,,2009-01
391,SLOVENIA,Tolar,SIT,705.0,,2007-01
392,SOUTH AFRICA,Financial Rand,ZAL,991.0,,1995-03
393,SOUTH SUDAN,Sudanese Pound,SDG,938.0,,2012-09
394,SOUTHERN RHODESIA,Rhodesian Dollar,RHD,,,1978 to 1981
395,SPAIN,Spanish Peseta,ESA,996.0,,1978 to 1981
396,SPAIN,"""A"" Account (convertible Peseta Account)",ESB,995.0,,1994-12
397,SPAIN,Spanish Peseta,ESP,724.0,,2002-03
398,SUDAN,Sudanese Dinar,SDD,736.0,,2007-07
399,SUDAN,Sudanese Pound,SDP,,,1998-06
400,SURINAME,Surinam Guilder,SRG,740.0,,2003-12
401,SWITZERLAND,WIR Franc (for electronic),CHC,948.0,,2004-11
402,TAJIKISTAN,Russian Ruble,RUR,810.0,,1995-05
403,TAJIKISTAN,Tajik Ruble,TJR,762.0,,2001-04
404,TIMOR-LESTE,Rupiah,IDR,360.0,,2002-07
405,TIMOR-LESTE,Timor Escudo,TPE,626.0,,2002-11
406,TURKEY,Old Turkish Lira,TRL,792.0,,2005-12
407,TURKEY,New Turkish Lira,TRY,949.0,,2009-01
408,TURKMENISTAN,Russian Ruble,RUR,810.0,,1993-10
409,TURKMENISTAN,Turkmenistan Manat,TMM,795.0,,2009-01
410,UGANDA,Uganda Shilling,UGS,,,1987-05
411,UGANDA,Old Shilling,UGW,,,1989 to 1990
412,UKRAINE,Karbovanet,UAK,804.0,,1996-09
413,UNION OF SOVIET SOCIALIST REPUBLICS,Rouble,SUR,,,1990-12
414,UNITED STATES,US Dollar (Same day),USS,998.0,,2014-03
415,URUGUAY,Old Uruguay Peso,UYN,,,1989-12
416,URUGUAY,Uruguayan Peso,UYP,,,1993-03
417,UZBEKISTAN,Russian Ruble,RUR,810.0,,1994-07
418,VENEZUELA,Bolivar,VEB,862.0,,2008-01
419,VENEZUELA,Bolivar Fuerte,VEF,937.0,,2011-12
420,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolivar,VEF,937.0,,2016-02
421,VIETNAM,Old Dong,VNC,,,1989-1990
422,"YEMEN, DEMOCRATIC",Yemeni Dinar,YDD,720.0,,1991-09
423,YUGOSLAVIA,New Yugoslavian Dinar,YUD,,,1990-01
424,YUGOSLAVIA,New Dinar,YUM,891.0,,2003-07
425,YUGOSLAVIA,Yugoslavian Dinar,YUN,890.0,,1995-11
426,ZAIRE,New Zaire,ZRN,180.0,,1999-06
427,ZAIRE,Zaire,ZRZ,180.0,,1994-02
428,ZAMBIA,Zambian Kwacha,ZMK,894.0,,2012-12
429,ZIMBABWE,Rhodesian Dollar,ZWC,,,1989-12
430,ZIMBABWE,Zimbabwe Dollar (old),ZWD,716.0,,2006-08
431,ZIMBABWE,Zimbabwe Dollar,ZWD,716.0,,2008-08
432,ZIMBABWE,Zimbabwe Dollar (new),ZWN,942.0,,2006-09
433,ZIMBABWE,Zimbabwe Dollar,ZWR,935.0,,2009-06
434,ZZ01_Gold-Franc,Gold-Franc,XFO,,,2006-10
435,ZZ02_RINET Funds Code,RINET Funds Code,XRE,,,1999-11
436,ZZ05_UIC-Franc,UIC-Franc,XFU,,,2013-11
